City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
142,Omboue,-1.5746,9.2618,77.31,88,100,8.14,GA,2021-10-15 19:58:50
143,Padang,-0.9492,100.3543,75.25,82,93,3.15,ID,2021-10-15 19:57:03
144,Kodiak,57.79,-152.4072,39.56,64,23,5.44,US,2021-10-15 19:58:50
145,Zwedru,6.0667,-8.1281,75.22,94,86,3.8,LR,2021-10-15 19:58:50
146,Zhezkazgan,47.8043,67.7144,43.56,61,0,9.71,KZ,2021-10-15 19:58:51
147,Hithadhoo,-0.6,73.0833,82.67,77,100,27.31,MV,2021-10-15 19:58:51
148,Mar Del Plata,-38.0023,-57.5575,57.99,56,0,7.0,AR,2021-10-15 19:58:17
149,Sovetskiy,61.3614,63.5842,43.23,73,100,9.91,RU,2021-10-15 19:58:51
150,Kutum,14.2,24.6667,81.7,31,2,5.88,SD,2021-10-15 19:58:52
151,Provideniya,64.3833,-173.3,22.32,79,4,6.42,RU,2021-10-15 19:58:52
152,Santa Lucia,27.9117,-15.5407,65.52,75,20,18.41,ES,2021-10-15 19:58:53
153,Taltal,-25.4,-70.4833,60.49,70,26,4.83,CL,2021-10-15 19:58:53
154,Tabou,4.423,-7.3528,78.51,88,48,6.96,CI,2021-10-15 19:58:54
155,Sault Sainte Marie,46.5168,-84.3333,62.89,57,1,8.05,CA,2021-10-15 19:55:00
156,Kruisfontein,-34.0033,24.7314,58.89,68,100,15.84,ZA,2021-10-15 19:58:55
157,Hellin,38.5106,-1.701,63.14,40,100,2.17,ES,2021-10-15 19:58:55
158,Talnakh,69.4865,88.3972,32.31,98,100,8.79,RU,2021-10-15 19:58:55
159,Borogontsy,62.6683,131.1683,13.73,95,100,5.12,RU,2021-10-15 19:58:56
160,Ambilobe,-13.2,49.05,72.48,65,0,6.55,MG,2021-10-15 19:58:56
161,Kyren,51.6828,102.1408,22.93,56,6,2.13,RU,2021-10-15 19:58:57
162,Touros,-5.1989,-35.4608,81.5,74,10,17.02,BR,2021-10-15 19:58:57
163,Alabat,14.1028,122.0153,79.72,79,69,2.24,PH,2021-10-15 19:58:57
164,Cockburn Town,21.4612,-71.1419,84.16,65,40,11.5,TC,2021-10-15 19:54:27
165,Vestmannaeyjar,63.4427,-20.2734,45.16,81,100,10.33,IS,2021-10-15 19:58:58
166,Kisanga,-7.4362,37.7034,76.64,71,17,8.86,TZ,2021-10-15 19:58:58
167,Kamloops,50.6665,-120.3192,47.59,81,75,13.8,CA,2021-10-15 19:58:58
168,Nikolskoye,59.7035,30.7861,47.88,89,100,14.99,RU,2021-10-15 19:58:59
169,Merrill,45.1805,-89.6835,59.81,47,40,12.66,US,2021-10-15 19:58:59
170,Lanzhou,36.0564,103.7922,42.08,76,79,1.99,CN,2021-10-15 19:58:59
171,Gigmoto,13.7796,124.39,77.97,86,52,1.39,PH,2021-10-15 19:59:00
172,Ponta Delgada,37.7333,-25.6667,70.52,83,20,4.61,PT,2021-10-15 19:59:00
173,Denpasar,-8.65,115.2167,80.26,83,40,1.14,ID,2021-10-15 19:59:01
174,Dalvik,65.9702,-18.5286,35.53,90,100,4.21,IS,2021-10-15 19:59:01
175,Fairbanks,64.8378,-147.7164,30.22,80,90,0.0,US,2021-10-15 19:59:02
176,Petropavlovsk-Kamchatskiy,53.0452,158.6483,36.19,100,90,8.95,RU,2021-10-15 19:59:03
177,Ylivieska,64.0833,24.55,46.31,92,100,5.46,FI,2021-10-15 19:59:03
178,Marsh Harbour,26.5412,-77.0636,80.94,61,89,9.46,BS,2021-10-15 19:59:03
179,Kavieng,-2.5744,150.7967,82.85,76,92,11.18,PG,2021-10-15 19:59:04
180,Nalut,30.3333,10.85,59.85,25,0,8.43,LY,2021-10-15 19:59:04
181,Itambe,-15.245,-40.6244,84.87,50,47,11.1,BR,2021-10-15 19:59:04
182,Port Blair,11.6667,92.75,80.2,85,100,15.26,IN,2021-10-15 19:57:24
183,French Harbor,16.35,-86.4333,87.8,79,40,3.0,HN,2021-10-15 19:59:05
184,Salalah,17.0151,54.0924,79.05,67,96,5.48,OM,2021-10-15 19:59:05
185,Pisco,-13.7,-76.2167,69.85,64,0,6.91,PE,2021-10-15 19:59:05
186,Ulcinj,41.9294,19.2244,55.62,72,45,10.16,ME,2021-10-15 19:59:06
187,Tautira,-17.7333,-149.15,82.42,76,28,15.7,PF,2021-10-15 19:59:06
188,Koshurnikovo,54.1667,93.3,25.56,59,16,3.74,RU,2021-10-15 19:59:07
189,Jumla,29.2747,82.1838,53.11,67,0,5.44,NP,2021-10-15 19:59:07
190,Tirat Karmel,32.7617,34.9719,70.63,65,3,10.74,IL,2021-10-15 19:59:08
191,Bayir,37.2687,28.2167,59.52,88,63,12.35,TR,2021-10-15 19:59:08
192,Rio Grande,-32.035,-52.0986,59.11,89,100,23.04,BR,2021-10-15 19:59:08
193,Lazaro Cardenas,17.9583,-102.2,86.47,68,32,5.55,MX,2021-10-15 19:59:09
194,Songjianghe,42.1859,127.479,26.58,52,0,8.39,CN,2021-10-15 19:59:09
195,Sola,-13.8833,167.55,80.89,75,52,5.53,VU,2021-10-15 19:59:10
196,Torbay,47.6666,-52.7314,48.58,97,90,24.16,CA,2021-10-15 19:59:10
197,Bonfim,3.0833,-59.95,96.57,34,100,9.73,BR,2021-10-15 19:59:10
198,Acarau,-2.8856,-40.12,82.22,76,100,19.26,BR,2021-10-15 19:59:10
199,Ankazobe,-18.3167,47.1167,59.41,84,3,7.49,MG,2021-10-15 19:59:11
200,Matay,28.419,30.7792,82.2,25,81,6.85,EG,2021-10-15 19:59:11
201,Namibe,-15.1961,12.1522,63.18,86,54,6.24,AO,2021-10-15 19:59:12
202,Bathsheba,13.2167,-59.5167,88.41,70,40,11.5,BB,2021-10-15 19:59:12
203,Nikki,9.9401,3.2108,80.92,59,84,4.45,BJ,2021-10-15 19:59:12
204,Nouadhibou,20.931,-17.0347,71.58,78,1,16.11,MR,2021-10-15 19:59:12
205,Poum,-20.2333,164.0167,73.98,75,80,9.01,NC,2021-10-15 19:59:13
206,Kone,-21.0595,164.8658,72.79,76,42,3.65,NC,2021-10-15 19:59:13
207,Guerrero Negro,27.9769,-114.0611,83.19,25,0,5.93,MX,2021-10-15 19:59:14
208,Kerema,-7.9631,145.7785,75.94,85,99,4.63,PG,2021-10-15 19:59:14
209,Yarmouth,41.7057,-70.2286,69.66,86,12,3.0,US,2021-10-15 19:59:14
210,Saint-Philippe,-21.3585,55.7679,72.99,80,47,12.77,RE,2021-10-15 19:55:23
211,San Jeronimo,-11.9472,-75.2829,68.31,39,36,9.6,PE,2021-10-15 19:59:15
212,Beringovskiy,63.05,179.3167,14.32,87,88,5.32,RU,2021-10-15 19:59:15
213,Tuktoyaktuk,69.4541,-133.0374,26.6,86,75,5.75,CA,2021-10-15 19:59:15
214,Kashi,39.4547,75.9797,51.01,23,0,8.95,CN,2021-10-15 19:59:16
215,Dudinka,69.4058,86.1778,32.04,92,94,10.83,RU,2021-10-15 19:59:16
216,Yerbogachen,61.2767,108.0108,23.7,94,100,11.79,RU,2021-10-15 19:59:17
217,Antofagasta,-23.65,-70.4,60.08,69,17,10.16,CL,2021-10-15 19:59:17
218,Sakakah,29.9697,40.2064,85.57,14,2,4.97,SA,2021-10-15 19:59:17
219,San Luis,-33.295,-66.3356,64.8,17,4,4.45,AR,2021-10-15 19:59:17
220,Hervey Bay,-25.2986,152.8535,64.51,65,0,10.07,AU,2021-10-15 19:59:18
221,Mandali,33.7499,45.5541,89.2,18,59,5.97,IQ,2021-10-15 19:59:18
222,Chapais,49.7834,-74.8492,62.38,74,73,5.82,CA,2021-10-15 19:59:18
223,Oranjestad,12.524,-70.027,87.75,70,75,13.8,AW,2021-10-15 19:59:19
224,Lang Suan,9.9456,99.0785,76.17,92,30,3.69,TH,2021-10-15 19:59:19
225,Mutis,6.2262,-77.4044,80.17,86,84,9.84,CO,2021-10-15 19:59:20
226,Vilyuysk,63.7553,121.6247,15.53,91,25,5.48,RU,2021-10-15 19:59:20
227,Urumqi,43.801,87.6005,38.35,65,0,6.71,CN,2021-10-15 19:59:20
228,Kachug,53.9606,105.8817,21.04,53,93,3.2,RU,2021-10-15 19:59:21
229,Kahului,20.8947,-156.47,79.84,82,44,17.0,US,2021-10-15 19:58:52
230,Linda,39.1277,-121.5508,84.07,30,4,3.76,US,2021-10-15 19:59:21
231,Nemuro,43.3236,145.575,49.62,62,99,11.77,JP,2021-10-15 19:59:21
232,Lixourion,38.2019,20.4314,58.86,90,100,22.91,GR,2021-10-15 19:59:22
233,Fortuna,40.5982,-124.1573,69.42,64,20,3.0,US,2021-10-15 19:59:22
234,Carmen,18.6333,-91.8333,85.95,64,49,10.76,MX,2021-10-15 19:59:22
235,Clarksburg,39.2807,-80.3445,80.33,74,99,6.87,US,2021-10-15 19:59:23
236,Souillac,-20.5167,57.5167,71.98,88,75,10.36,MU,2021-10-15 19:59:23
237,Deputatskiy,69.3,139.9,-3.69,100,99,2.26,RU,2021-10-15 19:59:23
238,Kavaratti,10.5669,72.642,82.26,81,100,16.02,IN,2021-10-15 19:59:23
239,Asau,46.4333,26.4,49.75,85,100,1.36,RO,2021-10-15 19:59:24
240,Los Llanos De Aridane,28.6585,-17.9182,69.55,90,75,9.22,ES,2021-10-15 19:59:24
241,Plainview,40.7765,-73.4673,81.88,66,0,1.99,US,2021-10-15 19:59:24
242,Batagay,67.6333,134.6333,9.59,98,96,2.1,RU,2021-10-15 19:59:25
243,Grand Gaube,-20.0064,57.6608,72.0,85,17,5.99,MU,2021-10-15 19:59:25
244,Camocim,-2.9022,-40.8411,84.07,70,75,18.48,BR,2021-10-15 19:59:25
245,Victoria,22.2855,114.1577,81.32,85,86,1.01,HK,2021-10-15 19:59:26
246,Cidreira,-30.1811,-50.2056,67.14,94,100,16.24,BR,2021-10-15 19:59:26
247,Usevya,-7.1,31.2333,75.83,49,6,4.16,TZ,2021-10-15 19:59:26
248,Sabzevar,36.2126,57.6819,62.46,17,55,7.83,IR,2021-10-15 19:59:27
249,Qinzhou,21.95,108.6167,68.56,74,100,16.15,CN,2021-10-15 19:59:27
250,Amapa,1.0,-52.0,91.47,39,95,2.98,BR,2021-10-15 19:59:27
251,Grand-Lahou,5.1367,-5.0242,79.07,88,5,9.73,CI,2021-10-15 19:59:28
252,Siocon,7.7061,122.1353,78.96,81,100,0.85,PH,2021-10-15 19:59:28
253,Murray Bridge,-35.1167,139.2667,56.43,77,100,10.98,AU,2021-10-15 19:59:28
254,Marsaxlokk,35.8419,14.5431,66.07,63,20,16.11,MT,2021-10-15 19:59:29
255,Quelimane,-17.8786,36.8883,82.35,65,20,15.99,MZ,2021-10-15 19:59:30
256,Dengzhou,37.8086,120.7508,52.7,50,100,29.75,CN,2021-10-15 19:59:30
257,Puerto Del Rosario,28.5004,-13.8627,73.15,88,20,13.8,ES,2021-10-15 19:59:31
258,Muravlenko,63.7898,74.523,40.37,92,100,12.77,RU,2021-10-15 19:59:31
259,Loubomo,-4.1997,12.6739,72.86,85,33,6.6,CG,2021-10-15 19:59:31
260,Amahai,-3.3333,128.9167,78.53,88,50,3.42,ID,2021-10-15 19:59:32
261,Kumluca,36.3703,30.2869,69.84,66,0,2.17,TR,2021-10-15 19:59:32
262,Isangel,-19.55,169.2667,73.51,88,33,2.3,VU,2021-10-15 19:59:32
263,Sioux Lookout,50.1001,-91.917,46.47,71,90,9.22,CA,2021-10-15 19:57:08
264,Bandarbeyla,9.4942,50.8122,78.82,81,2,8.68,SO,2021-10-15 19:59:33
265,Adrar,20.5022,-10.0711,90.52,12,70,9.26,MR,2021-10-15 19:55:28
266,Lompoc,34.6391,-120.4579,86.0,16,0,5.01,US,2021-10-15 19:59:33
267,Port Alfred,-33.5906,26.891,63.86,72,100,14.76,ZA,2021-10-15 19:59:33
268,Agirish,61.9247,63.0231,43.45,74,100,10.13,RU,2021-10-15 19:59:34
269,Visnes,59.3556,5.2242,50.05,71,40,31.07,NO,2021-10-15 19:59:34
270,Maarianhamina,60.0973,19.9348,42.66,70,75,9.22,AX,2021-10-15 19:59:35
271,The Valley,18.217,-63.0578,89.46,74,20,9.22,AI,2021-10-15 19:59:35
272,Vizinga,61.0749,50.1031,42.04,95,100,5.61,RU,2021-10-15 19:59:35
273,Husavik,66.0449,-17.3389,35.51,84,82,2.86,IS,2021-10-15 19:58:56
274,Nargana,9.4428,-78.5906,82.83,79,100,6.53,PA,2021-10-15 19:59:36
275,Aloleng,16.1307,119.7824,79.07,81,63,11.27,PH,2021-10-15 19:59:36
276,Skjervoy,70.0311,20.9714,33.98,58,96,8.23,NO,2021-10-15 19:59:36
277,Ust-Maya,60.4167,134.5333,18.19,86,100,5.97,RU,2021-10-15 19:59:37
278,Vila Velha,-20.3297,-40.2925,78.75,89,0,11.5,BR,2021-10-15 19:59:37
279,Hastings,50.8552,0.5729,55.9,81,49,7.49,GB,2021-10-15 19:59:38
280,Vung Tau,10.346,107.0843,79.47,87,100,8.19,VN,2021-10-15 19:59:38
281,Couvin,50.0528,4.495,47.5,99,48,3.76,BE,2021-10-15 19:59:38
282,Mount Gambier,-37.8333,140.7667,49.91,81,90,13.8,AU,2021-10-15 19:59:39
283,Helong,42.5397,128.9972,31.89,49,2,11.41,CN,2021-10-15 19:59:39
284,Avera,33.194,-82.5271,85.71,46,80,2.37,US,2021-10-15 19:59:39
285,Fatehabad,29.5167,75.45,75.47,26,0,2.1,IN,2021-10-15 19:59:39
286,Plettenberg Bay,-34.0527,23.3716,57.67,72,100,10.04,ZA,2021-10-15 19:59:40
287,Lewisporte,49.2499,-55.0482,44.31,96,100,18.12,CA,2021-10-15 19:59:40
288,Muramvya,-3.2682,29.6079,61.2,85,100,1.16,BI,2021-10-15 19:59:40
289,Tiznit,29.5833,-9.5,73.29,41,1,1.32,MA,2021-10-15 19:59:41
290,Port Lincoln,-34.7333,135.8667,54.21,71,100,7.0,AU,2021-10-15 19:59:41
291,Currais Novos,-6.2608,-36.5178,87.67,38,47,18.95,BR,2021-10-15 19:59:42
